Planet Name,X,Y,Z,Orbital Period,Planet Radius,Planet Mass,Semi-Major Axis,Eccentricity,Insolation Flux,Equilibrium Temperature,Star Temperature,Star Radius
K2-117 c,-6.703704724823758,6.976960433421206,1.7878939837575047,5.44482,2.03,,0,0,21.4,,3842.12,0.49
K2-118 b,-2.007598166869393,2.2197600308736742,0.8387966349529072,50.92092,2.54,,0,0,4.3,,4726.29,0.73
K2-119 b,-1.7515946222090195,1.9446692363870848,0.7952592992267986,7.7285,2.16,,0,0,,,,0.59
K2-12 b,-3.039965108314836,0.3629296573497436,0.12000399899189082,8.28212,2.33,,0,0,,1003.0,5800.0,1.01
K2-120 b,-inf,inf,inf,9.56332821,,,0,0,,,4432.16,
K2-121 b,-3.381787933283966,4.49812122470028,1.7829368914212746,5.185758,7.44,,0,0,,,,0.64
K2-122 b,-7.736212985543143,10.463972621518614,4.82906083530151,2.2193023,1.16,,0,0,,769.0,4009.0,0.59
K2-123 b,-4.033920729450679,4.1129608340941415,2.263887477476631,30.951524,2.76,,0,0,,338.0,4035.0,0.59
K2-124 b,-4.520768965545601,4.740469379659394,2.7984901705795657,6.413651,2.9,,0,0,,442.0,3570.0,0.39
K2-125 b,-7.101197980963423,-3.1827499129615258,-2.0775415480797625,21.750264,2.18,,0,0,2.0,,3654.47,0.4
K2-126 b,-8.6555709277506,-3.7719413999353546,-2.2801805049968067,7.387073,1.84,,0,0,35.3,,4367.83,0.62
K2-127 b,-1.2285001128304314,-0.628067981555506,-0.28294355894148837,3.588165,8.66,,0,0,105.6,,4387.84,0.68
K2-128 b,-7.852460248089056,-3.568260302910138,-1.303986084270555,5.675814,1.203,,0,0,,,4621.0,0.65
K2-129 b,10.638445682420429,-30.638013190378274,-15.571283823937888,8.23981,0.661,,0,0,,,,0.21
K2-13 b,-2.8748620111846153,0.49887586950348484,0.12753552186081232,40.062771,2.29,,0,0,,,5508.0,0.88
K2-130 b,2.7641005238839047,-7.484158058079014,-2.855202519015757,2.49412,1.25,,0,0,136.4,,4356.47,0.74
K2-131 b,-6.454536420105255,-0.3101921466075656,-1.1121417775695845,0.369311,1.762,,0,0,,,5113.0,0.77
