Planet Name,X,Y,Z,Orbital Period,Planet Radius,Planet Mass,Semi-Major Axis,Eccentricity,Insolation Flux,Equilibrium Temperature,Star Temperature,Star Radius
Kepler-1448 b,149.7541058335855,-464.55084836204026,594.1195506639148,12.27065865,1.73,,0,0,102.25,811.0,6075.0,0.97
Kepler-1449 b,398.7238523436205,-1210.465852202316,1549.7592395673541,13.22742265,,,0,0,,,5821.0,1.77
Kepler-145 b,147.36785419963059,-376.2754303884715,397.51533119436664,22.95068896,2.2,,0,0,145.5,886.0,6144.0,1.85
Kepler-1450 b,148.41928185989818,-324.86942532358114,358.1822866964784,54.5094166,1.55,,0,0,2.19,310.0,4405.0,0.61
Kepler-1451 b,320.7551338417165,-739.576764358739,686.3165393131952,35.622233,2.9,,0,0,17.42,521.0,5796.0,0.87
Kepler-1452 b,298.38060197986186,-723.1090187980224,617.0380099273439,42.9136635,3.19,,0,0,101.56,810.0,6049.0,2.48
Kepler-1453 b,222.50494876571312,-769.600583678389,888.0980638289052,47.1611696,2.74,,0,0,15.07,503.0,5936.0,0.96
Kepler-1454 b,126.24794029418581,-498.07423235109525,587.5940750172205,,1.615,,0,0,9.08,,5353.0,0.86
Kepler-1455 b,92.81814949832972,-207.6622093499199,275.96010141434533,49.27676,,,0,0,,,3919.0,0.58
Kepler-1456 b,77.87045837301366,-255.57460218877182,256.41527211308573,18.1373829,1.14,,0,0,,,4231.0,0.62
Kepler-1457 b,157.34792267882256,-642.030491011495,595.7632021744864,51.11086573,,,0,0,,,5841.0,1.25
Kepler-1458 b,93.85653270019796,-399.7953608462635,357.4638767977859,47.9872764,2.93,,0,0,14.01,493.0,5641.0,0.98
Kepler-1459 b,68.04927666355368,-308.9160676044578,327.7213428545129,62.8691611,1.58,,0,0,4.8,377.0,4947.0,0.87
Kepler-146 b,228.4874693079002,-510.53281654024687,448.2718581550196,31.15879091,,,0,0,,,5916.53,1.13
Kepler-1460 b,106.71522656482448,-383.3010097412286,384.3726731631331,29.9633247,1.89,,0,0,5.55,391.0,4463.0,0.64
Kepler-1461 b,135.048729227422,-476.28392791503586,464.86602368842074,29.34947388,,,0,0,,,4821.0,0.68
Kepler-1462 b,334.18178044141956,-673.2773536697814,686.2781470048561,65.6491001,,,0,0,,,5397.0,0.8
Kepler-1463 b,519.7298770714535,-1141.1144828005838,1129.2889767114739,25.15864,1.86,,0,0,,,5679.0,0.95
Kepler-1464 b,266.1289116375908,-857.8320053237144,720.9588378908231,31.7787564,,,0,0,,,5654.0,1.71
Kepler-1465 b,75.20232532059586,-208.66053628233934,282.9195713868905,31.8277111,1.74,,0,0,6.94,414.0,4702.0,0.69
Kepler-1466 b,152.62488583859601,-423.2077366662842,443.80220194311397,31.1748311,1.31,,0,0,27.62,585.0,6086.0,0.92
Kepler-1467 b,253.80510050657733,-543.0851308026112,606.679035571493,,3.075,,0,0,7.92,,5290.0,0.8
Kepler-1468 b,569.5978534339258,-1308.7465831025143,1252.937845298384,8.23984869,1.73,,0,0,,,5893.0,1.05
Kepler-1469 b,361.8580117913625,-819.6154714049247,735.7076514051521,,2.514,,0,0,24.9,,5399.0,0.84
Kepler-147 b,249.6079109026519,-769.3232389502575,656.9956812840542,12.6109708,1.29,,0,0,154.6,899.0,6010.0,1.26
Kepler-1470 b,145.26406747900924,-429.2888504318826,378.70697748434276,16.29501586,,,0,0,,,4882.0,0.8
Kepler-1471 b,211.60955248859656,-592.144770622539,749.9310605675408,3.63899398,1.32,,0,0,418.3,1153.0,5881.0,0.85
Kepler-1472 b,407.3758001780662,-879.5199082153131,1117.2935281662592,38.1303324,1.54,,0,0,33.43,613.0,6370.0,1.11
Kepler-1473 b,150.8257373073268,-400.49021923765656,492.23282831367015,,1.725,,0,0,111.01,,5902.0,1.17
Kepler-1474 b,343.5319212116678,-747.0971395879674,847.559138425218,36.4333452,2.44,,0,0,31.78,606.0,6057.0,1.15
Kepler-1475 b,487.3454999577645,-1001.499974442717,1104.222798742244,82.177374,2.2,,0,0,8.92,441.0,6247.0,0.95
Kepler-1476 b,181.02351658034266,-698.3530135962047,696.4345356499673,10.35863224,1.67,,0,0,,,5663.0,0.96
Kepler-1477 b,98.05177115814936,-490.76668602534545,461.5849603750645,11.55530021,1.18,,0,0,,,5100.0,0.78
Kepler-1478 b,541.6811850513917,-1265.9716036665798,1228.84617787223,26.0840594,1.4,,0,0,30.2,598.0,6081.0,0.83
Kepler-1479 b,127.60987652587468,-453.62201469369813,555.7875866032647,14.53255917,,,0,0,,,5840.0,1.15
Kepler-148 b,183.1329255806125,-509.056980337359,577.288675540319,1.72936647,1.87,,0,0,655.74,1291.0,5271.0,0.84
Kepler-1480 b,122.35250205756724,-302.83602912716464,379.753868139278,22.12679948,2.97,,0,0,63.98,721.0,5312.0,1.45
Kepler-1481 b,98.75430245010742,-279.81984315208683,350.284479961551,5.94227462,,,0,0,,,4693.28,0.77
Kepler-1482 b,98.88113026379263,-361.10627800923083,426.549635090777,12.25383217,1.01,,0,0,,,5381.0,0.84
Kepler-1483 b,405.2127297664666,-853.0017259761852,854.8135396195229,9.5085156,1.07,,0,0,182.21,937.0,6328.0,1.01
Kepler-1484 b,873.6673019431928,-2090.180186655008,1777.9969239934405,30.4549136,2.11,,0,0,,,5730.0,0.92
Kepler-1485 b,205.95720619210948,-385.7974604476884,433.33495627476805,19.9157725,1.42,,0,0,65.52,726.0,6053.0,1.09
Kepler-1486 b,436.55812807280563,-1162.0357895113925,1260.5340789951704,54.6495759,2.32,,0,0,,,5965.0,1.12
Kepler-1487 b,341.13661654267054,-715.2696757030928,633.615691309339,7.31945294,,,0,0,,,6408.0,1.54
Kepler-1488 b,167.01079919394218,-558.5730117156229,693.2694383575114,39.8189932,1.59,,0,0,29.47,594.0,6035.0,1.14
Kepler-1489 b,179.35788248882812,-897.941205766915,898.7489323915677,82.29283985,,,0,0,,,5655.0,1.31
Kepler-149 b,122.2801001659056,-430.5878975916608,354.5722334123323,29.1989838,4.14,,0,0,,,5377.0,0.9
Kepler-1490 b,275.3511804207906,-572.3017598407209,584.1946161375428,92.4362973,2.59,,0,0,3.51,349.0,5598.0,0.74
Kepler-1491 b,577.8257240592069,-1320.720233552036,1479.3503795253202,16.5861762,1.39,,0,0,55.08,695.0,5880.0,0.92
Kepler-1492 b,79.7558583177926,-237.02984065990609,217.67693839663337,16.75241848,,,0,0,,,4528.0,0.68
Kepler-1493 b,138.06288189823883,-411.4479504665132,346.02144052046646,15.0217983,0.84,,0,0,49.75,677.0,5619.0,0.8
Kepler-1494 b,205.4584264032072,-914.8628399992581,879.3586580050313,91.07862718,,,0,0,,,5662.0,1.14
Kepler-1495 b,293.5896481025129,-1015.1240502853044,849.009406696652,85.273256,2.94,,0,0,,,5831.0,1.04
Kepler-1496 b,373.4000840193642,-839.6981278684921,930.2978592410506,64.6589166,,,0,0,,,5836.36,1.39
Kepler-1497 b,,,,8.74192361,,,0,0,,,,
Kepler-1498 b,,,,48.0506878,,,0,0,,,,
Kepler-1499 b,55.960578733507504,-224.67366730852672,205.9343439228833,44.20412551,,,0,0,,,4937.39,0.8
Kepler-15 b,213.5749552274898,-434.0310923479511,559.22522754148,4.942782,10.76,209.76,0,0,,,5515.0,0.99
Kepler-150 b,211.952570883559,-643.3665567929373,578.9650540060687,3.42806306,,,0,0,,,5528.0,0.91
Kepler-1500 b,303.05542467323073,-885.9862671995992,778.6342506657719,15.0330623,,,0,0,,,5923.0,1.3
Kepler-1501 b,189.6412542489442,-523.3476021998118,501.2328456501976,14.5564533,1.38,,0,0,139.52,876.0,6425.0,1.19
Kepler-1502 b,515.4357490003091,-1051.766919416581,959.3585858652881,41.7083629,2.11,,0,0,33.46,613.0,6446.0,1.16
Kepler-1503 b,361.797465562647,-823.1372283533287,832.8082144835297,96.16900198,,,0,0,,,4789.85,1.23
Kepler-1504 b,526.7197688317408,-1470.1014521809866,1869.5378276507788,82.30962532,,,0,0,,,5507.61,1.88
Kepler-1505 b,138.3155830380962,-342.30762262790313,329.9482275807291,,1.591,,0,0,36.12,,5526.0,1.22
Kepler-1506 b,610.7626487555709,-1664.4957239915886,1566.6759754648679,14.0329154,1.46,,0,0,88.83,783.0,6063.0,1.0
Kepler-1507 b,70.17650542965306,-208.98817017232813,232.60557022071484,16.0506213,0.84,,0,0,,,5410.0,0.85
Kepler-1508 b,452.5010323612316,-846.7874321037004,816.3942301016343,20.7056504,0.98,,0,0,43.45,655.0,5746.0,0.92
Kepler-1509 b,326.2093782310478,-1328.3089437419915,1463.2264189554357,25.43359187,,,0,0,,,5832.0,1.55
Kepler-151 b,184.97086329694102,-454.09996984939994,426.5837592723831,15.22894462,,,0,0,,,5303.09,0.81
Kepler-1510 b,546.8050056377318,-988.1234242077998,1265.654157675537,,3.53,,0,0,14.04,,6083.0,1.38
Kepler-1511 b,340.0230785683543,-1020.8863923273785,1009.737906588481,23.23801825,,,0,0,,,6684.51,1.96
Kepler-1512 b,,,,20.35972599,1.24,,0,0,11.89,474.0,4623.0,0.7
Kepler-1513 b,91.53044581750609,-254.35041472545288,221.1368603974442,160.88451966,,,0,0,,,5442.9,0.92
